"exp","id","sex","age","handedness","threshold","block","condition","instruction","axis","trial","motion_duration","motion","absmotion","iti","response","rt","accuracy","answer"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",14,1,-0.575000011920929,0.575000011920929,4.33576433833857,"left",1668,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",15,1,0.525000011920929,0.525000011920929,5.07670985456625,"right",1422,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",16,1,0.625000011920929,0.625000011920929,5.07813308125264,"right",3301,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",17,1,0.625000011920929,0.625000011920929,4.90612429971335,"right",1609,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",18,1,0.67499995,0.67499995,5.01014911503945,"right",1214,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",19,1,0.525000011920929,0.525000011920929,5.08652286748735,"right",1428,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",20,1,-0.575000011920929,0.575000011920929,5.20786138501365,"left",1389,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",21,1,-0.67499995,0.67499995,5.06853778829131,"left",1208,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",22,1,0.525000011920929,0.525000011920929,5.61570047534926,"right",1401,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",23,1,-0.525000011920929,0.525000011920929,5.07754899877122,"left",2103,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",24,1,0.525000011920929,0.525000011920929,4.51892183403365,"right",1308,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",25,1,0.67499995,0.67499995,5.19454552594544,"right",1395,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",26,1,-0.575000011920929,0.575000011920929,4.96462070625942,"left",1670,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",27,1,0.575000011920929,0.575000011920929,4.76136574761806,"right",1509,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",28,1,0.67499995,0.67499995,4.58334137083572,"right",1558,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",29,1,0.575000011920929,0.575000011920929,4.71222150315718,"right",3879,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",30,1,0.725000011920929,0.725000011920929,5.19807799183828,"right",1378,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",31,1,-0.625000011920929,0.625000011920929,4.98217720142368,"left",1420,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",32,1,-0.725000011920929,0.725000011920929,5.348177653682,"left",1419,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",33,1,-0.67499995,0.67499995,4.70639150617074,"left",1467,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",34,1,0.625000011920929,0.625000011920929,5.07090482582642,"right",2331,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",35,1,-0.625000011920929,0.625000011920929,4.7696672271359,"left",1561,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",36,1,-0.575000011920929,0.575000011920929,4.95254531059726,"left",2331,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",37,1,-0.725000011920929,0.725000011920929,5.14587169709625,"left",1326,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",38,1,-0.725000011920929,0.725000011920929,4.90517488872792,"left",1437,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",39,1,0.625000011920929,0.625000011920929,4.9795817869604,"left",4368,0,"MISS"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",40,1,-0.625000011920929,0.625000011920929,4.47384632633188,"left",1672,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",41,1,0.575000011920929,0.575000011920929,5.35167103689374,"right",1333,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",42,1,-0.725000011920929,0.725000011920929,5.13085352053907,"left",1434,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",43,1,0.725000011920929,0.725000011920929,4.98760316889878,"right",1263,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",44,1,-0.525000011920929,0.525000011920929,4.97383783406358,"left",1477,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",45,1,-0.525000011920929,0.525000011920929,5.54139774952579,"left",3435,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",46,1,0.67499995,0.67499995,4.92714496090063,"right",1582,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",47,1,-0.625000011920929,0.625000011920929,4.91443199250506,"left",3771,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",48,1,0.525000011920929,0.525000011920929,4.77569689035305,"right",1459,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",49,1,0.625000011920929,0.625000011920929,5.11358981329083,"right",1193,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",50,1,0.67499995,0.67499995,4.83520085167792,"right",1095,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",51,1,-0.725000011920929,0.725000011920929,5.02519769340142,"left",1443,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",52,1,-0.525000011920929,0.525000011920929,4.90543265356114,"left",1347,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",53,1,-0.67499995,0.67499995,5.0863889962881,"left",1469,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",54,1,0.67499995,0.67499995,5.50788403388546,"right",1358,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",55,1,0.725000011920929,0.725000011920929,5.41786323469237,"right",1413,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",56,1,-0.67499995,0.67499995,5.35528440462072,"left",1315,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",57,1,-0.625000011920929,0.625000011920929,4.62534515742663,"left",1829,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",58,1,-0.725000011920929,0.725000011920929,4.4808153123677,"left",1228,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",59,1,0.67499995,0.67499995,5.14423608846383,"right",1302,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",60,1,-0.575000011920929,0.575000011920929,5.37207138077611,"left",1435,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",61,1,-0.725000011920929,0.725000011920929,4.61793241031975,"left",1378,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",62,1,0.575000011920929,0.575000011920929,4.57097889415193,"right",1277,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",63,1,0.575000011920929,0.575000011920929,5.34319700715328,"right",1164,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",64,1,-0.725000011920929,0.725000011920929,5.02087525841276,"left",1305,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",65,1,0.725000011920929,0.725000011920929,5.08668334710933,"right",1180,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",66,1,0.67499995,0.67499995,4.87918084145234,"right",1173,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",67,1,-0.625000011920929,0.625000011920929,5.05531446322169,"left",1246,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",68,1,-0.525000011920929,0.525000011920929,4.94568244205914,"left",1627,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",69,1,-0.575000011920929,0.575000011920929,5.01028453186544,"left",1154,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",70,1,-0.525000011920929,0.525000011920929,4.97448443655494,"left",1199,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",71,1,-0.67499995,0.67499995,5.19913125796934,"left",1358,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",72,1,0.575000011920929,0.575000011920929,5.03157440591484,"right",4330,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",73,1,-0.525000011920929,0.525000011920929,5.44214859864335,"left",4445,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",74,1,0.575000011920929,0.575000011920929,4.80261614432707,"right",1219,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",75,1,-0.67499995,0.67499995,5.08156973589206,"left",1588,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",76,1,-0.525000011920929,0.525000011920929,4.97061604605889,"left",4932,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",77,1,0.625000011920929,0.625000011920929,4.95047280919657,"right",1171,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",78,1,-0.67499995,0.67499995,4.05769760628946,"left",1380,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",79,1,0.525000011920929,0.525000011920929,5.31922744978347,"right",1335,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",80,1,-0.575000011920929,0.575000011920929,5.42329843255596,"left",4233,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",81,1,0.625000011920929,0.625000011920929,4.92367749087613,"right",1633,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",82,1,0.625000011920929,0.625000011920929,5.70245566002293,"right",1226,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",83,1,0.525000011920929,0.525000011920929,5.28148259752404,"right",1594,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",84,1,-0.625000011920929,0.625000011920929,4.36874395405101,"right",3058,0,"FA"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",85,1,-0.625000011920929,0.625000011920929,4.64038975792392,"left",1303,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",86,1,-0.725000011920929,0.725000011920929,4.99478811328963,"left",1587,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",87,1,0.575000011920929,0.575000011920929,4.86959626342495,"right",1191,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",88,1,0.725000011920929,0.725000011920929,4.83130868688343,"right",3340,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",89,1,0.725000011920929,0.725000011920929,5.02862422027585,"right",2460,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",90,1,0.575000011920929,0.575000011920929,4.82764769295043,"right",1404,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",91,1,0.525000011920929,0.525000011920929,4.91112540527214,"left",4624,0,"MISS"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",92,1,-0.725000011920929,0.725000011920929,4.57465779011834,"left",1250,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",93,1,-0.575000011920929,0.575000011920929,4.82747720662566,"left",1125,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",94,1,-0.625000011920929,0.625000011920929,4.77825386890425,"left",1260,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",95,1,-0.67499995,0.67499995,4.9457592119477,"left",1233,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",96,1,0.725000011920929,0.725000011920929,4.85056195643242,"right",1250,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",97,1,0.525000011920929,0.525000011920929,4.68638156220262,"right",2002,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",98,1,0.67499995,0.67499995,4.91706744788745,"right",1176,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",99,1,-0.575000011920929,0.575000011920929,4.89815161705505,"left",2002,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",100,1,0.725000011920929,0.725000011920929,4.84458246161943,"right",1323,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",1,1,0.525000011920929,0.525000011920929,4.79264824746207,"right",1471,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",2,1,-0.67499995,0.67499995,5.44023051534418,"right",2894,0,"FA"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",3,1,-0.625000011920929,0.625000011920929,4.95610069830971,"left",1186,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",4,1,0.67499995,0.67499995,4.83201458685401,"right",1398,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",5,1,-0.725000011920929,0.725000011920929,4.75265244988373,"left",1275,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",6,1,-0.575000011920929,0.575000011920929,5.13410357084917,"left",1336,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",7,1,-0.575000011920929,0.575000011920929,5.02182035109059,"left",2172,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",8,1,0.525000011920929,0.525000011920929,5.461943845086,"right",1510,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",9,1,-0.725000011920929,0.725000011920929,5.30530477292472,"left",1458,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",10,1,0.575000011920929,0.575000011920929,4.87220509559429,"right",1328,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",11,1,0.725000011920929,0.725000011920929,5.35327787938748,"right",2617,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",12,1,0.67499995,0.67499995,4.94427269959084,"right",1102,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",13,1,0.67499995,0.67499995,5.4283257703892,"right",1143,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",14,1,-0.575000011920929,0.575000011920929,4.73350466894144,"left",1319,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",15,1,-0.575000011920929,0.575000011920929,4.62931137888209,"left",1369,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",16,1,-0.725000011920929,0.725000011920929,4.23065218803491,"left",1834,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",17,1,0.625000011920929,0.625000011920929,5.06224595792467,"right",1182,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",18,1,-0.525000011920929,0.525000011920929,5.71717612448611,"left",1392,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",19,1,0.525000011920929,0.525000011920929,5.2053754243386,"right",1138,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",20,1,-0.525000011920929,0.525000011920929,4.86181995238315,"left",1501,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",21,1,0.725000011920929,0.725000011920929,4.90676836845476,"right",998,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",22,1,-0.625000011920929,0.625000011920929,4.88965840228313,"left",2141,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",23,1,0.575000011920929,0.575000011920929,5.02386953478818,"right",1319,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"probability","right","yaw",24,1,0.525000011920929,0.525000011920929,5.05813499311762,"right",1091,1,"HIT"
